# graphene sheet, generated by graphene_defect_ml

966 atoms
1 atom types

1.19750 71.19750 xlo xhi
-12.50000 12.50000 ylo yhi
-7.91506 62.08494 zlo zhi

Masses

1 12.0107

Atoms # molecular

1 1 1 17.78000 0.00000 4.81510
2 1 1 17.08500 0.00000 6.01888
3 1 1 17.78000 0.00000 7.22265
4 1 1 17.08500 0.00000 8.42643
5 1 1 17.78000 0.00000 9.63020
6 1 1 17.08500 0.00000 10.83398
7 1 1 17.78000 0.00000 12.03775
8 1 1 17.08500 0.00000 13.24153
9 1 1 17.78000 0.00000 14.44530
10 1 1 17.08500 0.00000 15.64908
11 1 1 17.78000 0.00000 16.85285
12 1 1 17.08500 0.00000 18.05663
13 1 1 17.78000 0.00000 19.26040
14 1 1 17.08500 0.00000 20.46418
15 1 1 17.78000 0.00000 21.66796
16 1 1 17.08500 0.00000 22.87173
17 1 1 17.78000 0.00000 24.07551
18 1 1 17.08500 0.00000 25.27928
19 1 1 17.78000 0.00000 26.48306
20 1 1 17.08500 0.00000 27.68683
21 1 1 17.78000 0.00000 28.89061
22 1 1 17.08500 0.00000 30.09438
23 1 1 17.78000 0.00000 31.29816
24 1 1 17.08500 0.00000 32.50193
25 1 1 17.78000 0.00000 33.70571
26 1 1 17.08500 0.00000 34.90948
27 1 1 17.78000 0.00000 36.11326
28 1 1 17.08500 0.00000 37.31703
29 1 1 17.78000 0.00000 38.52081
30 1 1 17.08500 0.00000 39.72459
31 1 1 17.78000 0.00000 40.92836
32 1 1 17.08500 0.00000 42.13214
33 1 1 17.78000 0.00000 43.33591
34 1 1 17.08500 0.00000 44.53969
35 1 1 17.78000 0.00000 45.74346
36 1 1 17.08500 0.00000 46.94724
37 1 1 17.78000 0.00000 48.15101
38 1 1 17.08500 0.00000 49.35479
39 1 1 19.17000 0.00000 4.81510
40 1 1 19.86500 0.00000 6.01888
41 1 1 19.17000 0.00000 7.22265
42 1 1 19.86500 0.00000 8.42643
43 1 1 19.17000 0.00000 9.63020
44 1 1 19.86500 0.00000 10.83398
45 1 1 19.17000 0.00000 12.03775
46 1 1 19.86500 0.00000 13.24153
47 1 1 19.17000 0.00000 14.44530
48 1 1 19.86500 0.00000 15.64908
49 1 1 19.17000 0.00000 16.85285
50 1 1 19.86500 0.00000 18.05663
51 1 1 19.17000 0.00000 19.26040
52 1 1 19.86500 0.00000 20.46418
53 1 1 19.17000 0.00000 21.66796
54 1 1 19.86500 0.00000 22.87173
55 1 1 19.17000 0.00000 24.07551
56 1 1 19.86500 0.00000 25.27928
57 1 1 19.17000 0.00000 26.48306
58 1 1 19.86500 0.00000 27.68683
59 1 1 19.17000 0.00000 28.89061
60 1 1 19.86500 0.00000 30.09438
61 1 1 19.17000 0.00000 31.29816
62 1 1 19.86500 0.00000 32.50193
63 1 1 19.17000 0.00000 33.70571
64 1 1 19.86500 0.00000 34.90948
65 1 1 19.17000 0.00000 36.11326
66 1 1 19.86500 0.00000 37.31703
67 1 1 19.17000 0.00000 38.52081
68 1 1 19.86500 0.00000 39.72459
69 1 1 19.17000 0.00000 40.92836
70 1 1 19.86500 0.00000 42.13214
71 1 1 19.17000 0.00000 43.33591
72 1 1 19.86500 0.00000 44.53969
73 1 1 19.17000 0.00000 45.74346
74 1 1 19.86500 0.00000 46.94724
75 1 1 19.17000 0.00000 48.15101
76 1 1 19.86500 0.00000 49.35479
77 1 1 21.95000 0.00000 4.81510
78 1 1 21.25500 0.00000 6.01888
79 1 1 21.95000 0.00000 7.22265
80 1 1 21.25500 0.00000 8.42643
81 1 1 21.95000 0.00000 9.63020
82 1 1 21.25500 0.00000 10.83398
83 1 1 21.95000 0.00000 12.03775
84 1 1 21.25500 0.00000 13.24153
85 1 1 21.95000 0.00000 14.44530
86 1 1 21.25500 0.00000 15.64908
87 1 1 21.95000 0.00000 16.85285
88 1 1 21.25500 0.00000 18.05663
89 1 1 21.95000 0.00000 19.26040
90 1 1 21.25500 0.00000 20.46418
91 1 1 21.95000 0.00000 21.66796
92 1 1 21.25500 0.00000 22.87173
93 1 1 21.95000 0.00000 24.07551
94 1 1 21.25500 0.00000 25.27928
95 1 1 21.95000 0.00000 26.48306
96 1 1 21.25500 0.00000 27.68683
97 1 1 21.95000 0.00000 28.89061
98 1 1 21.25500 0.00000 30.09438
99 1 1 21.95000 0.00000 31.29816
100 1 1 21.25500 0.00000 32.50193
101 1 1 21.95000 0.00000 33.70571
102 1 1 21.25500 0.00000 34.90948
103 1 1 21.95000 0.00000 36.11326
104 1 1 21.25500 0.00000 37.31703
105 1 1 21.95000 0.00000 38.52081
106 1 1 21.25500 0.00000 39.72459
